"name","genre","tomato_reviews","tomato_meter","binary_quality"
"12 Years a Slave","Biography, Drama, History",300,95.6666666666667,1
"127 Hours","Adventure, Biography, Drama",217,93.0875576036866,1
"1492: Conquest of Paradise","Adventure, Biography, Drama",18,38.8888888888889,0
"15 Minutes","Action, Crime, Drama",123,32.520325203252,0
"2001: A Space Odyssey","Mystery, Sci-Fi",78,93.5897435897436,1
"2012","Action, Adventure, Sci-Fi",238,39.4957983193277,0
"30 Minutes or Less","Action, Comedy, Crime",159,44.0251572327044,0
"44 Inch Chest","Crime, Drama",81,40.7407407407407,0
"48 Hrs.","Action, Comedy, Crime",39,92.3076923076923,1
"8MM","Mystery, Thriller",78,21.7948717948718,0
"Above the Law","Action, Crime, Mystery",16,50,0
"Absolute Power","Action, Crime, Drama",42,45.2380952380952,0
"Ace Ventura: Pet Detective","Comedy",51,45.0980392156863,0
"After.Life","Drama, Horror, Mystery",54,25.9259259259259,0
"Agnes of God","Drama, Mystery",28,46.4285714285714,0
"Airplane","Comedy",58,96.551724137931,1
"Aladdin","Animation, Adventure, Comedy",68,94.1176470588235,1
"Alien","Horror, Sci-Fi",100,97,1
"Aliens","Action, Horror, Sci-Fi",62,98.3870967741936,1
"All About Eve","Drama",63,100,1
"All About Steve","Comedy, Romance",135,6.66666666666667,0
"All the President's Men","Biography, Drama, History",54,92.5925925925926,1
"Alone in the Dark","Horror, Sci-Fi",117,0.854700854700855,0
"Amadeus","Biography, Drama, History",83,95.1807228915663,1
"Amelia","Adventure, Biography, Drama",157,20.3821656050955,0
"American Graffiti","Comedy, Drama, Music",43,95.3488372093023,1
"American Hustle","Crime, Drama",254,92.9133858267717,1
"American Outlaws","Action, Western",103,13.5922330097087,0
"American President, The","Comedy, Drama, Romance",52,90.3846153846154,1
"American Splendor","Biography, Comedy, Drama",181,93.9226519337017,1
"Amour","Drama, Romance",198,92.9292929292929,1
"An Education","Drama",180,94.4444444444444,1
"Analyze That","Comedy, Crime",149,26.8456375838926,0
"Angels & Demons","Mystery, Thriller",249,36.9477911646586,0
"Annie Hall","Comedy, Romance",66,98.4848484848485,1
"Anonymous","Drama, History, Thriller",168,46.4285714285714,0
"Antitrust","Action, Crime, Drama",106,23.5849056603774,0
"Antz","Animation, Adventure, Comedy",89,95.5056179775281,1
"Apartment, The","Comedy, Drama, Romance",59,93.2203389830509,1
"Apocalypse Now","Drama, War",78,97.4358974358974,1
"Apollo 13","Adventure, Drama, History",85,95.2941176470588,1
"Argo","Biography, Drama, History",304,95.7236842105263,1
"Armageddon","Action, Adventure, Sci-Fi",115,39.1304347826087,0
"Arthur","Comedy, Romance",188,25.531914893617,0
"Artist, The","Comedy, Drama, Romance",275,97.0909090909091,1
"Assassins","Action, Crime, Thriller",46,15.2173913043478,0
"At First Sight","Drama, Romance",38,31.5789473684211,0
"Authors Anonymous","Comedy",14,7.14285714285714,0
"Autumn in New York","Drama, Romance",71,19.7183098591549,0
"Avengers, The","Action, Adventure, Sci-Fi",315,92.0634920634921,1
"Avengers, The (2012)","Action, Adventure, Sci-Fi",315,92.0634920634921,1
"Back to the Future","Adventure, Comedy, Sci-Fi",77,96.1038961038961,1
"Back-up Plan, The","Comedy, Romance",142,18.3098591549296,0
"Bad Boys","Action, Comedy, Crime",47,42.5531914893617,0
"Bad Day at Black Rock","Crime, Drama, Mystery",29,96.551724137931,1
"Bad Dreams","Horror, Thriller",9,11.1111111111111,0
"Bad Teacher","Comedy",181,43.646408839779,0
"Badlands","Crime, Drama",50,98,1
"Bamboozled","Comedy, Drama, Music",97,48.4536082474227,0
"Barry Lyndon","Adventure, Drama, History",52,96.1538461538462,1
"Barton Fink","Comedy, Drama",54,90.7407407407407,1
"Basic","Action, Crime, Drama",142,21.1267605633803,0
"Batman Forever","Action, Adventure, Fantasy",58,41.3793103448276,0
"Battle of Algiers, The","Drama, War",76,98.6842105263158,1
"Battle of Shaker Heights, The","Drama, Romance, Comedy",58,41.3793103448276,0
"Beach, The","Adventure, Drama, Thriller",116,18.9655172413793,0
"Bean","Comedy, Family",31,41.9354838709677,0
"Being John Malkovich","Comedy, Drama, Fantasy",123,92.6829268292683,1
"Being There","Comedy, Drama",46,95.6521739130435,1
"Big","Comedy, Drama, Family",72,97.2222222222222,1
"Big White, The","Comedy, Crime, Drama",10,30,0
"Birds, The","Horror",51,96.078431372549,1
"Black Dahlia, The","Crime, Drama, Mystery",186,32.258064516129,0
"Blade: Trinity","Action, Adventure, Fantasy",165,25.4545454545455,0
"Blue Velvet","Drama, Mystery, Thriller",62,93.5483870967742,1
"Body Heat","Crime, Drama, Thriller",37,97.2972972972973,1
"Body of Evidence","Drama, Thriller",34,5.88235294117647,0
"Bonfire of the Vanities","Comedy, Drama",50,16,0
"Bonnie and Clyde","Biography, Crime, Drama",51,90.1960784313726,1
"Boogie Nights","Drama",65,92.3076923076923,1
"Book of Eli, The","Action, Adventure, Drama",192,47.9166666666667,0
"Boondock Saints, The","Action, Crime, Thriller",25,20,0
"Bound","Crime, Drama, Romance",37,91.8918918918919,1
"Bounty Hunter, The","Action, Comedy, Romance",143,12.5874125874126,0
"Bourne Ultimatum, The","Action, Thriller",257,92.9961089494163,1
"Box, The","Drama, Fantasy, Mystery",150,44.6666666666667,0
"Brazil","Drama, Sci-Fi",46,97.8260869565217,1
"Breaking Away","Comedy, Drama, Sport",35,94.2857142857143,1
"Broadcast News","Comedy, Drama, Romance",41,97.5609756097561,1
"Bruce Almighty","Comedy, Drama, Fantasy",184,48.3695652173913,0
"Bull Durham","Comedy, Romance, Sport",63,96.8253968253968,1
"Burlesque","Drama, Music, Romance",148,36.4864864864865,0
"Burning Annie","Comedy, Drama, Romance",7,28.5714285714286,0
"Butterfly Effect, The","Sci-Fi, Thriller",169,32.5443786982249,0
"Capote","Biography, Crime, Drama",182,90.1098901098901,1
"Carrie","Drama, Fantasy, Horror",54,92.5925925925926,1
"Cars 2","Animation, Adventure, Comedy",205,39.0243902439024,0
"Casablanca","Drama, Romance, War",73,97.2602739726027,1
"Case 39","Horror, Mystery, Thriller",74,21.6216216216216,0
"Catch Me If You Can","Biography, Crime, Drama",195,95.8974358974359,1
"Catwoman","Action, Crime, Fantasy",195,8.71794871794872,0
"Cell, The","Horror, Sci-Fi, Thriller",146,45.8904109589041,0
"Change-Up, The","Comedy, Fantasy",148,25,0
"Charade","Comedy, Mystery, Romance",36,91.6666666666667,1
"Chasing Sleep","Horror, Mystery, Thriller",6,50,0
"Cherry Falls","Horror, Mystery, Thriller",14,50,0
"Chinatown","Drama, Mystery, Thriller",61,98.3606557377049,1
"Cirque du Freak: The Vampire's Assistant","Action, Adventure, Fantasy",135,37.7777777777778,0
"Citizen Kane","Drama, Mystery",71,100,1
"Clash of the Titans","Action, Adventure, Fantasy",239,28.0334728033473,0
"Code of Silence","Action, Crime, Drama",12,50,0
"Collateral Damage","Action, Drama, Thriller",142,19.0140845070423,0
"Colombiana","Action, Crime, Drama",94,26.5957446808511,0
"Color of Night","Mystery, Romance, Thriller",46,21.7391304347826,0
"Constantine","Drama, Fantasy, Horror",218,46.3302752293578,0
"Coraline","Animation, Fantasy",257,90.272373540856,1
"Coriolanus","Drama, Thriller, War",136,92.6470588235294,1
"Cradle 2 the Grave","Action, Crime, Drama",121,25.6198347107438,0
"Creation","Biography, Drama",110,46.3636363636364,0
"Crime Spree","Action, Comedy, Crime",7,42.8571428571429,0
"Crouching Tiger, Hidden Dragon","Action, Drama, Romance",151,97.3509933774834,1
"Croupier","Crime, Drama",54,98.1481481481482,1
"Crow Salvation, The","Action, Crime, Fantasy",9,22.2222222222222,0
"Crow: City of Angels, The","Action, Fantasy, Thriller",33,12.1212121212121,0
"Cruel Intentions","Drama, Romance",78,48.7179487179487,0
"Crying Game","Crime, Drama, Romance",62,96.7741935483871,1
"Damned United, The","Biography, Drama, Sport",128,92.96875,1
"Dark Knight, The","Action, Crime, Thriller",314,93.9490445859873,1
"Day the Earth Stood Still, The","Drama, Sci-Fi, Thriller",191,20.9424083769633,0
"Days of Heaven","Drama, Romance",48,93.75,1
"Death to Smoochy","Comedy, Crime, Drama",120,41.6666666666667,0
"Deception","Crime, Drama, Mystery",96,13.5416666666667,0
"Deep Rising","Action, Adventure, Horror",29,31.0344827586207,0
"Deer Hunter, The","Drama, War",61,93.4426229508197,1
"Departed, The","Crime, Drama, Thriller",263,90.8745247148289,1
"Detroit Rock City","Comedy, Music",39,46.1538461538462,0
"Die Hard","Action, Thriller",64,92.1875,1
"Diner","Comedy, Drama",35,91.4285714285714,1
"Distinguished Gentleman, The","Comedy, Crime",15,13.3333333333333,0
"Do The Right Thing","Drama",67,92.5373134328358,1
"Dog Day Afternoon","Crime, Drama",40,95,1
"Double Indemnity","Crime, Drama, Film-Noir",54,96.2962962962963,1
"Drag Me to Hell","Horror, Thriller",253,92.094861660079,1
"Drive","Crime, Drama",238,92.436974789916,1
"Drive Angry","Action, Fantasy, Thriller",117,45.2991452991453,0
"Drop Dead Gorgeous","Comedy",66,43.9393939393939,0
"Duck Soup","Comedy, Musical, War",45,93.3333333333333,1
"E.T.","Family, Sci-Fi",112,98.2142857142857,1
"Eagle Eye","Action, Mystery, Thriller",178,26.4044943820225,0
"Ed Wood","Biography, Comedy, Drama",60,91.6666666666667,1
"Eight Legged Freaks","Action, Comedy, Horror",143,48.2517482517483,0
"El Mariachi","Action, Crime, Thriller",27,92.5925925925926,1
"Election","Comedy, Drama",104,92.3076923076923,1
"Elephant Man, The","Biography, Drama",41,90.2439024390244,1
"Elizabeth: The Golden Age","Biography, Drama, History",165,35.1515151515151,0
"Enough","Crime, Drama, Thriller",123,21.9512195121951,0
"Entrapment","Action, Crime, Romance",81,38.2716049382716,0
"Equilibrium","Action, Drama, Sci-Fi",84,38.0952380952381,0
"Erik the Viking","Comedy, Adventure, Fantasy",17,47.0588235294118,0
"Eternal Sunshine of the Spotless Mind","Drama, Romance, Sci-Fi",233,93.1330472103004,1
"Even Cowgirls Get the Blues","Comedy, Drama, Romance",18,22.2222222222222,0
"Event Horizon","Horror, Sci-Fi",37,24.3243243243243,0
"Fabulous Baker Boys, The","Drama, Music, Romance",24,95.8333333333333,1
"Fantastic Four","Action, Adventure, Sci-Fi",203,26.6009852216749,0
"Fargo","Crime, Drama, Thriller",87,94.2528735632184,1
"Fatal Instinct","Comedy, Crime, Thriller",21,19.047619047619,0
"Fear and Loathing in Las Vegas","Comedy",65,49.2307692307692,0
"Fighter, The","Biography, Drama, Sport",236,90.2542372881356,1
"Final Destination","Horror",94,34.0425531914894,0
"Final Destination 2","Horror",109,47.7064220183486,0
"Finding Nemo","Animation, Adventure, Comedy",254,99.2125984251968,1
"Flintstones, The","Comedy, Family, Fantasy",42,21.4285714285714,0
"Four Rooms","Comedy, Fantasy",44,13.6363636363636,0
"Frankenstein","Drama, Horror, Sci-Fi",44,100,1
"Freaked","Comedy, Sci-Fi",17,47.0588235294118,0
"Freddy vs. Jason","Horror, Thriller",157,40.7643312101911,0
"French Connection, The","Action, Crime, Drama",55,98.1818181818182,1
"Friday the 13th Part VIII: Jason Takes Manhattan","Horror",23,8.69565217391304,0
"From Here to Eternity","Drama, Romance, War",49,91.8367346938775,1
"Fruitvale Station","Biography, Drama, Romance",189,93.6507936507936,1
"Fugitive, The","Action, Adventure, Crime",72,95.8333333333333,1
"Full Metal Jacket","Drama, War",74,94.5945945945946,1
"G.I. Joe: The Rise of Cobra","Action, Adventure, Sci-Fi",159,34.5911949685535,0
"Gamer","Action, Sci-Fi, Thriller",75,28,0
"Get Carter","Action, Crime, Drama",60,11.6666666666667,0
"Ghost and the Darkness, The","Adventure, Drama, Horror",46,50,0
"Ghost Rider","Action, Fantasy, Thriller",135,25.9259259259259,0
"Ghost Ship","Horror",124,13.7096774193548,0
"Ghost World","Comedy, Drama",153,92.156862745098,1
"Ghostbusters","Adventure, Comedy, Fantasy",67,97.0149253731343,1
"Go","Comedy, Crime",72,91.6666666666667,1
"Godfather Part II","Crime, Drama",72,97.2222222222222,1
"Gods and Monsters","Biography, Drama",62,95.1612903225806,1
"Gone in 60 Seconds","Action, Crime, Drama",13,38.4615384615385,0
"Good Will Hunting","Drama",70,97.1428571428571,1
"Goodfellas","Biography, Crime, Drama",76,96.0526315789474,1
"Gothika","Horror, Mystery, Thriller",166,14.4578313253012,0
"Grand Theft Parsons","Adventure, Comedy, Drama",27,44.4444444444444,0
"Grapes of Wrath, The","Drama",43,100,1
"Gravity","Sci-Fi, Thriller",309,96.1165048543689,1
"Groundhog Day","Comedy, Fantasy, Romance",71,95.7746478873239,1
"Grudge, The","Fantasy, Horror, Mystery",157,38.8535031847134,0
"Hackers","Comedy, Crime, Drama",44,31.8181818181818,0
"Hall Pass","Comedy, Romance",172,33.7209302325581,0
"Halloween: The Curse of Michael Myers","Horror, Thriller",32,6.25,0
"Hancock","Action, Fantasy",218,40.8256880733945,0
"Hannah and Her Sisters","Comedy, Drama, Romance",54,92.5925925925926,1
"Hannibal","Crime, Drama, Thriller",165,39.3939393939394,0
"Hard Rain","Action, Crime, Drama",42,28.5714285714286,0
"Hard to Kill","Action, Drama, Crime",12,33.3333333333333,0
"Harry Potter and the Prisoner of Azkaban","Adventure, Family, Fantasy",250,90.8,1
"Haunting, The","Fantasy, Horror, Mystery",90,16.6666666666667,0
"He's Just Not That Into You","Comedy, Drama, Romance",155,40,0
"Heathers","Comedy, Crime, Drama",43,95.3488372093023,1
"Heavenly Creatures","Biography, Crime, Drama",49,91.8367346938775,1
"Hellbound: Hellraiser II","Horror, Thriller",20,50,0
"Hellraiser: Deader","Horror, Mystery, Thriller",6,16.6666666666667,0
"Hellraiser: Hellseeker","Horror, Mystery, Thriller",6,0,0
"Henry's Crime","Comedy, Crime, Drama",53,39.622641509434,0
"High Fidelity","Comedy, Drama, Music",164,91.4634146341463,1
"Highlander: Endgame","Action, Adventure, Fantasy",54,11.1111111111111,0
"Hills Have Eyes, The","Horror",136,49.2647058823529,0
"His Girl Friday","Comedy, Drama, Romance",39,97.4358974358974,1
"Hollow Man","Horror, Sci-Fi",114,27.1929824561403,0
"Hospital, The","Comedy, Drama, Mystery",10,100,1
"Hostage","Action, Crime, Drama",155,35.4838709677419,0
"Hotel Rwanda","Drama, History, War",189,90.4761904761905,1
"House of 1000 Corpses","Horror",80,18.75,0
"How to Lose Friends & Alienate People","Comedy, Drama, Romance",109,36.697247706422,0
"How to Train Your Dragon","Animation, Adventure, Family",201,98.0099502487562,1
"How to Train Your Dragon 2","Animation, Action, Adventure",162,91.358024691358,1
"Hudson Hawk","Action, Adventure, Comedy",33,24.2424242424242,0
"Human Nature","Comedy, Drama",94,48.936170212766,0
"I Am Number Four","Action, Adventure, Sci-Fi",159,32.7044025157233,0
"I am Sam","Drama",143,34.2657342657343,0
"I Spit on Your Grave","Crime, Horror",56,33.9285714285714,0
"I Still Know What You Did Last Summer","Horror, Mystery",56,7.14285714285714,0
"In the Bedroom","Crime, Drama",138,93.4782608695652,1
"In the Loop","Comedy",167,94.0119760479042,1
"Insider, The","Biography, Drama, Thriller",132,96.2121212121212,1
"Insomnia","Drama, Mystery, Thriller",200,92,1
"Inventing the Abbotts","Drama, Romance",26,30.7692307692308,0
"Island, The","Action, Adventure, Romance",194,39.6907216494845,0
"It Happened One Night","Comedy, Romance",52,98.0769230769231,1
